,timestamp,symbol,open,high,low,close,volume,trade_count,SMA_20,SMA_50,SMA_100,Volatility,Bollinger_Upper,Bollinger_Lower,Momentum_5,sentiment_score,likes,weighted_sentiment,next_open
1236,2024-10-07 15:15:00+00:00,AAPL,224.94,225.15,224.84,225.06,18666.0,,225.3415,224.8935,225.3605,0.4791688115871758,226.29983762317434,224.38316237682565,0.060000000000002274,0.0,0,0.0,225.08
1247,2024-10-07 15:30:00+00:00,AAPL,225.08,225.27,224.77,224.87,9268.0,,225.32350000000002,224.886,225.364,0.48966595755879444,226.30283191511762,224.34416808488243,-0.18999999999999773,0.0,0,0.0,224.82
1258,2024-10-07 15:45:00+00:00,AAPL,224.82,224.97,224.73,224.885,12847.0,,225.31175,224.88139999999999,225.36505,0.49717017961582355,226.30609035923163,224.31740964076835,0.014999999999986358,0.0,0,0.0,224.89
1269,2024-10-07 16:00:00+00:00,AAPL,224.89,224.9,224.095,224.575,26901.0,,225.2745,224.8843,225.3687,0.5224243964441804,226.31934879288835,224.22965120711163,-0.3100000000000023,0.0,0,0.0,224.65
1280,2024-10-07 16:15:00+00:00,AAPL,224.65,224.78,224.29,224.29,11850.0,,225.24499999999998,224.8935,225.3718,0.5592293804971987,226.36345876099438,224.12654123900558,-0.2849999999999966,0.0,0,0.0,224.25
1291,2024-10-07 16:30:00+00:00,AAPL,224.25,224.395,224.09,224.15,13963.0,,225.212,224.9021,225.368,0.6017794446538192,226.41555888930762,224.00844111069236,-0.13999999999998636,0.0,0,0.0,224.175
1302,2024-10-07 16:45:00+00:00,AAPL,224.175,224.18,223.93,223.99,23855.0,,225.1585,224.9045,225.3566,0.6578641577152674,226.47422831543054,223.84277168456947,-0.1599999999999966,0.0,0,0.0,223.97
1313,2024-10-07 17:00:00+00:00,AAPL,223.97,224.565,223.97,224.34,13254.0,,225.11350000000002,224.90849999999998,225.34560000000002,0.681120584031203,226.47574116806243,223.7512588319376,0.3499999999999943,0.0,0,0.0,224.38
1324,2024-10-07 17:15:00+00:00,AAPL,224.38,224.38,223.82,223.82,22478.0,,225.0275,224.8999,225.32905,0.7287600771116185,226.48502015422324,223.56997984577677,-0.5200000000000102,0.0,0,0.0,223.8
1335,2024-10-07 17:30:00+00:00,AAPL,223.8,224.02,223.73,223.75,12874.0,,224.945,224.89430000000002,225.31224999999998,0.7739169852137863,226.49283397042757,223.39716602957242,-0.06999999999999318,0.0,0,0.0,223.81
1346,2024-10-07 17:45:00+00:00,AAPL,223.81,223.845,223.435,223.82,22810.0,,224.831,224.8936,225.29425,0.7632375121833468,226.3574750243667,223.30452497563329,0.06999999999999318,0.0,0,0.0,223.87
